design,model,comparison,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,p_improve_rmse,p_improve_mae
two_lag,M1_history_rf,vs_persistence,0.7853067762737709,-2.592755008243481,4.069119312852895,3.8548265185307216,-1.5160516623667166,7.497577352163966,0.8715,0.6415
two_lag,M2_history_env_compact_gb,vs_persistence,0.6519546056706851,-2.102939466257553,3.469644341008596,2.2752000428754044,-1.091832414718898,4.375357463546013,0.896,0.6525
two_lag,M2_history_env_compact_rf,vs_persistence,0.5149245989229456,-2.924901797678603,4.125203906242743,3.5825243240493805,-3.0935263962996458,8.052358674960733,0.778,0.6105
two_lag,M3_history_vc_gb,vs_persistence,1.3233130710088012,-1.0632368345555412,3.7480955283834567,3.094945548452486,0.35174274706643466,4.876308658995391,0.989,0.8705
two_lag,M3_history_vc_rf,vs_persistence,0.9783177608851545,-2.1871959191036434,4.493550490240331,3.759990832983874,-1.554254426306749,7.36003292620089,0.8755,0.7015
two_lag,M4_history_env_compact_vc_gb,vs_persistence,0.4724142908400033,-2.5689108860696264,3.400062577806525,3.303124780053871,-1.2040944934218611,6.392870499549021,0.892,0.6165
two_lag,M4_history_env_compact_vc_rf,vs_persistence,0.5377365292538698,-2.583357164859257,4.424737697401446,3.8133836625821758,-2.5394174425004836,8.74252525659037,0.78,0.5955
two_lag,M5_history_env_full_gb,vs_persistence,0.30658393760604596,-1.9009918054287607,2.6796229233783415,2.5907871957875415,-1.0252645148658184,4.899839006960544,0.8795,0.5865
two_lag,M5_history_env_full_rf,vs_persistence,0.4255031976796495,-2.544376907882836,3.5235847915211758,3.2307772528221292,-2.6487628818694127,7.239646271654697,0.7835,0.5935
two_lag,M6_history_env_full_vc_gb,vs_persistence,0.14110485057266686,-2.4374441652135337,2.95249002480017,2.847689848274861,-1.0099648884572638,5.588266434929217,0.8885,0.527
two_lag,M6_history_env_full_vc_rf,vs_persistence,0.49865441190739546,-2.4741341396861705,3.7290234861250657,3.431784782984451,-2.3144691836153575,7.549867681629144,0.783,0.592
two_lag,M4_history_env_compact_vc_rf,compact +VC vs compact,0.022811930330924213,-0.47341505841121334,0.46500880727972965,0.23085933853279528,-0.09428572938579949,0.4381056253093731,0.934,0.551
two_lag,M6_history_env_full_vc_rf,full +VC vs full,0.07315121422774595,-0.20684794936803524,0.382006919141355,0.20100753016232176,-0.06874019752016051,0.39438276236423775,0.9305,0.688
two_lag,M4_history_env_compact_vc_gb,compact +VC vs compact,-0.17954031483068178,-1.2471584171656662,0.83405356702438,1.0279247371784663,-0.5228658511077438,2.118803816181942,0.824,0.3705
two_lag,M6_history_env_full_vc_gb,full +VC vs full,-0.1654790870333791,-1.0345267191468122,0.6880812407427147,0.25690265248731947,-0.5625124779912134,0.7375762915527605,0.781,0.3745
