design,split,repeat,model,learner,alpha,n_features,mae,rmse,r2,representation,inner_oof_rmse,raw_mae,raw_rmse,raw_r2
one_lag,grouped,3,M2_history_env_compact_rf,rf,0.30000000000000004,9,24.157630717048157,40.597669642122945,0.886495780593009,compact,47.95569609988571,34.40670808417286,42.45838791572993,0.8758528377194812
one_lag,grouped,3,M2_history_env_compact_gb,gb,0.35000000000000003,9,23.57443372597373,41.97138805567227,0.8786844531425027,compact,47.823395784341386,31.061287017180813,43.38729925716976,0.8703611916129306
one_lag,grouped,3,M3_history_vc_rf,rf,0.30000000000000004,4,23.200116389003778,41.353644052511484,0.882229270173793,vc,48.257791650049604,33.20143454504801,42.76385250832302,0.8740600716661556
one_lag,grouped,3,M3_history_vc_gb,gb,0.4,4,24.376435159075136,41.26189735207131,0.8827512599578222,vc,47.898690920823434,31.483164477893613,42.93045819336062,0.8730768496327715
one_lag,grouped,3,M4_history_env_compact_vc_rf,rf,0.25,12,23.505318147262507,40.816377129020026,0.8852695481890915,compact_vc,48.09317552459762,34.128695816279155,42.86803610127273,0.8734456809437042
one_lag,grouped,3,M4_history_env_compact_vc_gb,gb,0.35000000000000003,12,23.631931210265517,41.51468089731841,0.8813102530384135,compact_vc,47.7161111830332,31.182976386183576,42.73919420027068,0.8742052676687033
one_lag,grouped,3,M5_history_env_full_rf,rf,0.25,21,23.88891193292764,40.90811360118148,0.8847532458964367,full,48.34044624100662,36.22115935248354,43.75862610057349,0.868132688590898
one_lag,grouped,3,M5_history_env_full_gb,gb,0.30000000000000004,21,23.477276205269394,41.97272652544227,0.878676715500803,full,48.20975472085169,31.502728861189045,43.52874959062652,0.8695145224414077
one_lag,grouped,3,M6_history_env_full_vc_rf,rf,0.25,24,24.04301335633927,40.9428676401958,0.8845573438511078,full_vc,48.34029638868448,36.488073933865465,43.607933333031134,0.8690393548163489
one_lag,grouped,3,M6_history_env_full_vc_gb,gb,0.30000000000000004,24,23.56024811839148,41.66245510344778,0.8804637814354737,full_vc,48.418023878294456,32.14067617799542,43.65190073163328,0.8687751413497138
one_lag,grouped,4,M0_persistence,baseline,,1,26.60571428571428,45.78650456193397,0.7993590264128135,,,,,
one_lag,grouped,4,M1_history_rf,rf,0.55,1,27.019940276504208,45.74667319822027,0.7997079644891905,history,47.29072445820057,27.830612945716545,45.98244589377468,0.7976380834873968
one_lag,grouped,4,M1_history_gb,gb,0.6000000000000001,1,27.467989489580436,45.976425220130736,0.797691072199565,history,46.854385436875724,28.559654423929977,46.34680467956794,0.7944183998281564
one_lag,grouped,4,M2_history_env_compact_rf,rf,0.4,9,28.768553344328755,43.11799650001399,0.8220648320031976,compact,46.27648099633211,36.27383938605122,45.224650592486874,0.8042530124614375
one_lag,grouped,4,M2_history_env_compact_gb,gb,0.4,9,29.01603584960683,45.012339495766824,0.8060866012351335,compact,46.76324411486983,35.48379779583463,49.139196335179555,0.7688995742372942
